employee_id,full_name,age,age_band,education_level,hire_date,exit_date,is_active,tenure_days,department,job_role,job_level,employment_type,base_salary_annual,store_id,manager_id,manager_name,manager_status
EMP000016,Amber Kidd,28,25-34,Some College,2021-10-24,,True,1603,Store Operations,Sales Associate,Associate,Full-time,30200.85,STR053,EMP001224,Raymond Quinn,Manager
EMP000017,Tracy House,52,45-54,High School,2014-06-02,,True,4304,Store Operations,Sales Associate,Associate,Full-time,31650.91,STR007,EMP001026,Brandon Kelly,Manager
EMP000018,Carol Tucker,36,35-44,Some College,2019-04-28,,True,2513,Store Operations,Cashier,Entry,Full-time,27247.56,STR109,EMP001447,Sonya Jackson,Manager
EMP000019,James Brown,25,25-34,High School,2021-10-24,,True,1603,Store Operations,Cashier,Entry,Part-time,15791.67,STR019,EMP001680,Zachary Santiago,Manager
EMP000020,William Baker,42,35-44,Some College,2020-02-24,,True,2211,Store Operations,Cashier,Entry,Full-time,24912.29,STR001,EMP002163,Mr. William Ward,Manager
EMP000021,Jordan Henderson,36,35-44,Bachelor's,2021-06-13,,True,1736,Store Operations,Cashier,Entry,Seasonal,11247.41,STR149,EMP002493,Eric Williams,Manager
EMP000022,Whitney Peters,29,25-34,Some College,2019-05-26,,True,2485,Store Operations,Sales Associate,Associate,Full-time,29673.93,STR001,EMP002827,Amanda Wright,Manager
EMP000023,Brittney Phillips,29,25-34,Some College,2021-10-03,2024-12-02,False,1156,Store Operations,Cashier,Entry,Full-time,24921.45,STR060,EMP001131,Michelle Walls,Executive
EMP000024,Lauren Daniels,26,25-34,High School,2021-04-14,,True,1796,Store Operations,Sales Associate,Associate,Part-time,19437.81,STR046,EMP002456,Jennifer Moore,Executive
EMP000025,Amy Silva,26,25-34,High School,2016-02-03,,True,3693,Store Operations,Sales Associate,Associate,Full-time,33472.84,STR118,EMP000529,Melissa Bishop,Senior Manager
EMP000026,Sarah Moore,48,45-54,Master's,2018-12-21,2019-04-18,False,118,Store Operations,Cashier,Entry,Part-time,17911.06,STR098,EMP001305,Tina Walter,Senior Manager
EMP000027,Angela Lopez,34,25-34,High School,2018-10-17,,True,2706,Store Operations,Sales Associate,Associate,Full-time,30396.09,STR110,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000028,Megan Young,33,25-34,Master's,2019-07-25,,True,2425,Store Operations,Sales Associate,Associate,Full-time,34170.81,STR118,EMP002436,Miranda Murray,Senior Manager
EMP000029,Steve Sanchez,40,35-44,High School,2020-11-14,,True,1947,Store Operations,Cashier,Entry,Part-time,16754.49,STR038,EMP002585,Kara Rogers,Senior Manager
EMP000030,Lisa Barnes,37,35-44,Bachelor's,2016-11-12,,True,3410,Store Operations,Sales Associate,Associate,Full-time,28557.4,STR030,EMP002684,David James,Senior Manager
EMP000031,Kelly Donovan,43,35-44,Some College,2018-10-18,2019-06-30,False,255,Store Operations,Sales Associate,Associate,Contractor,38819.59,STR126,EMP002712,Scott Meza,Senior Manager
EMP000032,Mike Allen,30,25-34,Bachelor's,2020-01-29,,True,2237,Store Operations,Sales Associate,Associate,Full-time,30046.29,STR025,EMP000053,Rebecca Valencia,Manager
EMP000033,Michael Evans,35,35-44,Bachelor's,2021-01-28,,True,1872,Store Operations,Cashier,Entry,Full-time,22650.52,STR012,EMP000121,Jamie Walton,Manager
EMP000034,Paul Jones,26,25-34,High School,2021-02-25,,True,1844,Store Operations,Cashier,Entry,Full-time,31488.86,STR094,EMP000240,Briana Murray,Manager
EMP000035,Zachary Ferrell,35,35-44,Bachelor's,2021-07-22,,True,1697,Store Operations,Cashier,Entry,Full-time,31656.32,STR014,EMP000520,Michael Johnson,Manager
EMP000036,Daniel Baker,38,35-44,Some College,2020-06-07,,True,2107,Store Operations,Cashier,Entry,Full-time,30083.97,STR015,EMP000767,Tamara Riddle,Manager
EMP000037,Shirley Suarez,21,<25,Some College,2021-01-31,,True,1869,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,23741.52,STR111,EMP001224,Raymond Quinn,Manager
EMP000038,Christopher Bass,33,25-34,Master's,2020-10-06,,True,1986,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,36465.08,STR064,EMP001447,Sonya Jackson,Manager
EMP000039,Lisa Archer,27,25-34,Bachelor's,2020-07-15,,True,2069,Store Operations,Sales Associate,Associate,Part-time,21726.48,STR137,EMP001680,Zachary Santiago,Manager
EMP000040,Aimee Montoya,31,25-34,High School,2012-01-04,2020-10-10,False,3202,Store Operations,Cashier,Entry,Seasonal,10560.61,STR118,EMP002163,Mr. William Ward,Manager
EMP000041,Matthew Mcmillan,24,<25,High School,2018-01-03,2022-05-16,False,1594,Store Operations,Cashier,Entry,Full-time,23220.38,STR020,EMP002493,Eric Williams,Manager
EMP000042,Brian Rodriguez,51,45-54,High School,2021-08-20,,True,1668,Store Operations,Sales Associate,Associate,Full-time,33942.12,STR010,EMP002827,Amanda Wright,Manager
EMP000043,Denise Jacobs,28,25-34,Some College,2019-07-01,,True,2449,Store Operations,Cashier,Entry,Full-time,22343.89,STR094,EMP001131,Michelle Walls,Executive
EMP000044,Christina Walters,42,35-44,Bachelor's,2016-02-01,2023-02-08,False,2564,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,48639.81,STR040,EMP002456,Jennifer Moore,Executive
EMP000045,John Whitehead,27,25-34,Bachelor's,2021-08-11,,True,1677,Store Operations,Sales Associate,Associate,Full-time,31105.36,STR089,EMP000529,Melissa Bishop,Senior Manager
EMP000046,Anna Henderson,29,25-34,High School,2019-04-07,,True,2534,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,44937.83,STR145,EMP001305,Tina Walter,Senior Manager
EMP000047,Aaron Wise,33,25-34,High School,2020-10-07,,True,1985,Store Operations,Cashier,Entry,Full-time,25117.11,STR015,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000048,Deborah Figueroa,31,25-34,Bachelor's,2012-01-04,,True,5184,Store Operations,Sales Associate,Associate,Full-time,34240.82,STR086,EMP002436,Miranda Murray,Senior Manager
EMP000049,Jessica Smith,41,35-44,Some College,2021-08-25,,True,1663,Store Operations,Cashier,Entry,Part-time,16480.26,STR036,EMP002585,Kara Rogers,Senior Manager
EMP000050,Stephen Mckee,32,25-34,Bachelor's,2016-10-07,,True,3446,Store Operations,Cashier,Entry,Full-time,23848.54,STR111,EMP002684,David James,Senior Manager
EMP000051,Sandra Aguilar,36,35-44,High School,2019-04-25,,True,2516,Store Operations,Cashier,Entry,Full-time,31695.85,STR051,EMP002712,Scott Meza,Senior Manager
EMP000052,Cameron Parker,32,25-34,Bachelor's,2021-09-19,,True,1638,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,27976.2,STR057,EMP000053,Rebecca Valencia,Manager
EMP000053,Rebecca Valencia,26,25-34,High School,2021-02-09,,True,1860,Store Operations,Store Manager,Manager,Full-time,83184.97,STR025,EMP002684,David James,Senior Manager
EMP000054,Christine Wright,31,25-34,Bachelor's,2019-01-27,,True,2604,Store Operations,Sales Associate,Associate,Full-time,38737.93,STR025,EMP000053,Rebecca Valencia,Manager
EMP000055,Richard Henson,25,25-34,Master's,2021-06-17,2024-12-27,False,1289,Store Operations,Cashier,Entry,Full-time,27979.0,STR148,EMP001305,Tina Walter,Senior Manager
EMP000056,Marc Moore,38,35-44,Bachelor's,2021-03-11,,True,1830,Store Operations,Cashier,Entry,Part-time,18731.25,STR029,EMP000121,Jamie Walton,Manager
EMP000057,Sharon Cherry,43,35-44,High School,2020-09-24,,True,1998,Store Operations,Cashier,Entry,Part-time,13730.96,STR008,EMP000240,Briana Murray,Manager
EMP000058,Sierra Johnson,23,<25,Bachelor's,2019-09-28,2021-02-05,False,496,Store Operations,Cashier,Entry,Seasonal,9583.93,STR135,EMP000520,Michael Johnson,Manager
EMP000059,Evelyn Galvan,51,45-54,High School,2021-02-04,,True,1865,Store Operations,Sales Associate,Associate,Part-time,17125.64,STR035,EMP000767,Tamara Riddle,Manager
EMP000060,Sharon Cochran,39,35-44,High School,2014-10-21,,True,4163,Store Operations,Sales Associate,Associate,Full-time,31903.96,STR007,EMP001026,Brandon Kelly,Manager
EMP000061,Richard Rodriguez,34,25-34,Bachelor's,2020-10-21,2024-04-30,False,1287,Store Operations,Shift Supervisor,Supervisor,Full-time,48996.19,STR130,EMP001224,Raymond Quinn,Manager
EMP000062,Shannon Walker,22,<25,Master's,2020-03-30,,True,2176,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39070.24,STR108,EMP001447,Sonya Jackson,Manager
EMP000063,Julia Torres,22,<25,Some College,2020-07-20,,True,2064,Store Operations,Cashier,Entry,Full-time,30287.38,STR103,EMP001680,Zachary Santiago,Manager
EMP000064,Crystal Johnson,31,25-34,Bachelor's,2020-05-15,,True,2130,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,24210.78,STR128,EMP002163,Mr. William Ward,Manager
EMP000065,Garrett Lin,32,25-34,Bachelor's,2019-03-20,,True,2552,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39214.02,STR134,EMP002493,Eric Williams,Manager
EMP000066,Diana May,21,<25,Bachelor's,2021-07-31,,True,1688,Store Operations,Cashier,Entry,Full-time,27426.96,STR046,EMP002827,Amanda Wright,Manager
EMP000067,William Herrera,32,25-34,Master's,2021-11-06,,True,1590,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,37113.86,STR039,EMP001131,Michelle Walls,Executive
EMP000068,Ashley Waller,35,35-44,Some College,2015-12-15,,True,3743,Store Operations,Cashier,Entry,Full-time,30021.97,STR081,EMP002456,Jennifer Moore,Executive
EMP000069,Victor Baker,21,<25,High School,2021-01-20,2021-04-23,False,93,Store Operations,Sales Associate,Associate,Part-time,17336.76,STR039,EMP000529,Melissa Bishop,Senior Manager
EMP000070,Jeffrey Chandler,29,25-34,PhD,2020-01-19,,True,2247,Store Operations,Sales Associate,Associate,Part-time,23905.59,STR017,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000071,Larry Dixon,43,35-44,Master's,2019-03-08,2022-09-15,False,1287,Store Operations,Sales Associate,Associate,Full-time,37266.94,STR109,EMP002436,Miranda Murray,Senior Manager
EMP000072,Kenneth Scott,37,35-44,Master's,2020-03-01,,True,2205,Store Operations,Sales Associate,Associate,Full-time,30384.59,STR115,EMP002585,Kara Rogers,Senior Manager
EMP000073,April Frost,43,35-44,Bachelor's,2019-09-27,,True,2361,Store Operations,Cashier,Entry,Full-time,22055.22,STR108,EMP002684,David James,Senior Manager
EMP000074,Michelle Harmon,21,<25,Bachelor's,2021-02-28,,True,1841,Store Operations,Cashier,Entry,Full-time,30154.61,STR055,EMP002712,Scott Meza,Senior Manager
EMP000075,Helen Jones,36,35-44,High School,2021-11-04,,True,1592,Store Operations,Cashier,Entry,Full-time,29068.57,STR016,EMP002585,Kara Rogers,Senior Manager
EMP000076,Erin Edwards,29,25-34,High School,2021-02-07,,True,1862,Store Operations,Cashier,Entry,Full-time,29290.07,STR142,EMP000121,Jamie Walton,Manager
EMP000077,Michelle Evans,31,25-34,Bachelor's,2020-12-09,,True,1922,Store Operations,Sales Associate,Associate,Seasonal,14902.1,STR124,EMP000240,Briana Murray,Manager
EMP000078,Jason Powell,37,35-44,Bachelor's,2016-11-16,2023-08-31,False,2479,Store Operations,Sales Associate,Associate,Contractor,31777.39,STR148,EMP001305,Tina Walter,Senior Manager
EMP000079,Cameron Fisher,26,25-34,Some College,2021-07-20,,True,1699,Store Operations,Cashier,Entry,Part-time,15350.79,STR009,EMP000520,Michael Johnson,Manager
EMP000080,Megan Orr,27,25-34,High School,2020-07-10,2024-07-21,False,1472,Store Operations,Sales Associate,Associate,Part-time,17634.26,STR120,EMP000767,Tamara Riddle,Manager
EMP000081,Elizabeth Kelley,28,25-34,High School,2021-09-13,,True,1644,Store Operations,Cashier,Entry,Part-time,18378.62,STR040,EMP001026,Brandon Kelly,Manager
EMP000082,Dustin Jordan,36,35-44,High School,2020-12-24,,True,1907,Store Operations,Cashier,Entry,Full-time,28232.98,STR060,EMP001224,Raymond Quinn,Manager
EMP000083,Mary Marshall,22,<25,Some College,2020-01-15,,True,2251,Store Operations,Cashier,Entry,Part-time,15185.39,STR033,EMP001447,Sonya Jackson,Manager
EMP000084,Daniel Kennedy,24,<25,Master's,2021-08-18,,True,1670,Store Operations,Sales Associate,Associate,Full-time,28762.7,STR100,EMP001680,Zachary Santiago,Manager
EMP000085,Rebecca Jackson,34,25-34,Master's,2017-05-17,,True,3224,Store Operations,Cashier,Entry,Full-time,25109.82,STR082,EMP002163,Mr. William Ward,Manager
EMP000086,Jose Schultz,35,35-44,Bachelor's,2021-04-06,,True,1804,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39877.75,STR088,EMP002493,Eric Williams,Manager
EMP000087,Robert Potter,35,35-44,Bachelor's,2021-02-01,2022-06-08,False,492,Store Operations,Cashier,Entry,Part-time,17577.64,STR148,EMP001305,Tina Walter,Senior Manager
EMP000088,Courtney Gonzalez,33,25-34,Bachelor's,2019-04-21,,True,2520,Store Operations,Sales Associate,Associate,Full-time,35650.69,STR014,EMP002827,Amanda Wright,Manager
EMP000089,David Alvarez,21,<25,Bachelor's,2021-11-08,2023-06-17,False,586,Store Operations,Cashier,Entry,Full-time,30872.13,STR058,EMP001131,Michelle Walls,Executive
EMP000090,Angel Perry,43,35-44,High School,2020-09-08,,True,2014,Store Operations,Cashier,Entry,Full-time,26722.15,STR084,EMP002456,Jennifer Moore,Executive
EMP000091,Cheyenne Horton,21,<25,Master's,2021-02-26,,True,1843,Store Operations,Cashier,Entry,Full-time,23195.94,STR012,EMP000529,Melissa Bishop,Senior Manager
EMP000092,David Douglas Jr.,26,25-34,Bachelor's,2021-07-03,,True,1716,Store Operations,Cashier,Entry,Part-time,17479.47,STR131,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000093,Patricia Rodriguez,41,35-44,Some College,2020-07-25,,True,2059,Store Operations,Sales Associate,Associate,Full-time,37129.42,STR063,EMP002436,Miranda Murray,Senior Manager
EMP000094,Christopher Rubio,34,25-34,Some College,2021-03-10,,True,1831,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43419.16,STR082,EMP002684,David James,Senior Manager
EMP000095,Amber Wright,33,25-34,PhD,2021-11-30,,True,1566,Store Operations,Cashier,Entry,Full-time,29709.67,STR080,EMP002712,Scott Meza,Senior Manager
EMP000096,Joyce Solis,34,25-34,Bachelor's,2021-12-25,,True,1541,Store Operations,Sales Associate,Associate,Full-time,33925.55,STR077,EMP000053,Rebecca Valencia,Manager
EMP000097,Victoria Larson,39,35-44,Master's,2018-03-25,,True,2912,Store Operations,Cashier,Entry,Full-time,27227.33,STR123,EMP002827,Amanda Wright,Manager
EMP000098,Stephanie Salazar,23,<25,Bachelor's,2021-03-23,,True,1818,Store Operations,Cashier,Entry,Part-time,15765.25,STR062,EMP000121,Jamie Walton,Manager
EMP000099,Kathy Rivas,42,35-44,Bachelor's,2020-09-07,,True,2015,Store Operations,Sales Associate,Associate,Full-time,28305.03,STR012,EMP000240,Briana Murray,Manager
EMP000100,Stephanie Manning,32,25-34,High School,2021-02-16,,True,1853,Store Operations,Cashier,Entry,Part-time,13847.35,STR032,EMP000520,Michael Johnson,Manager
EMP000101,David Wright,36,35-44,High School,2020-07-07,2024-10-31,False,1577,Store Operations,Sales Associate,Associate,Part-time,17026.29,STR097,EMP000767,Tamara Riddle,Manager
EMP000102,Pamela Boyd,21,<25,Some College,2021-01-27,2022-10-10,False,621,Store Operations,Sales Associate,Associate,Full-time,35636.92,STR096,EMP002456,Jennifer Moore,Executive
EMP000103,Denise Jones,29,25-34,Bachelor's,2021-04-17,,True,1793,Store Operations,Sales Associate,Associate,Full-time,31772.27,STR018,EMP001026,Brandon Kelly,Manager
EMP000104,Devon Flores,39,35-44,Bachelor's,2020-11-12,,True,1949,Store Operations,Cashier,Entry,Seasonal,10834.28,STR069,EMP001224,Raymond Quinn,Manager
EMP000105,Brenda Hall,37,35-44,Bachelor's,2021-01-10,,True,1890,Store Operations,Cashier,Entry,Part-time,18645.4,STR028,EMP001447,Sonya Jackson,Manager
EMP000106,Michelle Brown,21,<25,Bachelor's,2021-09-11,,True,1646,Store Operations,Sales Associate,Associate,Full-time,30991.51,STR118,EMP001680,Zachary Santiago,Manager
EMP000107,Joshua Perry,30,25-34,High School,2020-01-23,,True,2243,Store Operations,Cashier,Entry,Full-time,26103.83,STR121,EMP002436,Miranda Murray,Senior Manager
EMP000108,Jason Stein,25,25-34,Some College,2017-12-06,2021-10-19,False,1413,Store Operations,Cashier,Entry,Part-time,17733.31,STR148,EMP001305,Tina Walter,Senior Manager
EMP000109,Melissa Gates,21,<25,Bachelor's,2021-07-27,,True,1692,Store Operations,Sales Associate,Associate,Full-time,30745.58,STR020,EMP002163,Mr. William Ward,Manager
EMP000110,Jamie Smith,36,35-44,Some College,2021-02-23,2022-07-03,False,495,Store Operations,Cashier,Entry,Full-time,22769.8,STR038,EMP002493,Eric Williams,Manager
EMP000111,Paul Castaneda,25,25-34,High School,2021-07-19,,True,1700,Store Operations,Sales Associate,Associate,Part-time,18886.21,STR034,EMP001131,Michelle Walls,Executive
EMP000112,Jennifer Adkins,36,35-44,Bachelor's,2020-06-30,,True,2084,Store Operations,Cashier,Entry,Part-time,14167.33,STR072,EMP000529,Melissa Bishop,Senior Manager
EMP000113,Lindsey Walker,24,<25,Master's,2019-09-12,,True,2376,Store Operations,Cashier,Entry,Full-time,31296.98,STR063,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000114,Jeffrey Johnson,44,35-44,Bachelor's,2021-10-18,,True,1609,Store Operations,Sales Associate,Associate,Part-time,22618.47,STR132,EMP002585,Kara Rogers,Senior Manager
EMP000115,Michael Powell,38,35-44,Some College,2020-12-21,,True,1910,Store Operations,Cashier,Entry,Full-time,28334.04,STR143,EMP002684,David James,Senior Manager
EMP000116,John Anderson,28,25-34,Master's,2020-04-10,,True,2165,Store Operations,Cashier,Entry,Full-time,30714.61,STR110,EMP002712,Scott Meza,Senior Manager
EMP000117,Alyssa Long,32,25-34,High School,2020-07-29,,True,2055,Store Operations,Cashier,Entry,Full-time,30036.72,STR048,EMP000053,Rebecca Valencia,Manager
EMP000118,Alyssa Day,41,35-44,Bachelor's,2020-04-04,,True,2171,Store Operations,Sales Associate,Associate,Full-time,30238.84,STR107,EMP000121,Jamie Walton,Manager
EMP000119,Joel Williams,29,25-34,Some College,2021-10-08,2024-02-27,False,872,Store Operations,Sales Associate,Associate,Full-time,38710.71,STR035,EMP000240,Briana Murray,Manager
EMP000120,Daniel Murphy,36,35-44,Bachelor's,2020-11-01,,True,1960,Store Operations,Cashier,Entry,Full-time,27393.42,STR039,EMP000520,Michael Johnson,Manager
EMP000121,Jamie Walton,27,25-34,Master's,2018-04-19,,True,2887,Store Operations,Store Manager,Manager,Full-time,79223.2,STR119,EMP002712,Scott Meza,Senior Manager
EMP000122,Darlene Miller,31,25-34,Master's,2019-09-22,,True,2366,Store Operations,Cashier,Entry,Seasonal,12384.37,STR049,EMP000767,Tamara Riddle,Manager
EMP000123,Joshua Cooke,37,35-44,Some College,2018-05-16,,True,2860,Store Operations,Cashier,Entry,Full-time,25180.03,STR049,EMP001026,Brandon Kelly,Manager
EMP000124,Matthew Harrington,38,35-44,Some College,2021-07-28,,True,1691,Store Operations,Sales Associate,Associate,Full-time,29320.62,STR138,EMP001224,Raymond Quinn,Manager
EMP000125,Nicole Herring,25,25-34,High School,2020-10-11,2024-08-15,False,1404,Store Operations,Sales Associate,Associate,Contractor,33808.74,STR019,EMP001447,Sonya Jackson,Manager
EMP000126,Alex Hernandez,44,35-44,High School,2021-10-22,2023-08-01,False,648,Store Operations,Cashier,Entry,Full-time,26271.08,STR070,EMP001680,Zachary Santiago,Manager
EMP000127,Michael Elliott,32,25-34,Some College,2021-04-23,,True,1787,Store Operations,Sales Associate,Associate,Full-time,37816.18,STR086,EMP002163,Mr. William Ward,Manager
EMP000128,Michael Wang,36,35-44,Master's,2012-01-04,,True,5184,Store Operations,Cashier,Entry,Full-time,30607.31,STR077,EMP002493,Eric Williams,Manager
EMP000129,Lawrence Adkins,33,25-34,Some College,2018-11-29,2020-01-18,False,415,Store Operations,Sales Associate,Associate,Contractor,30891.77,STR030,EMP002827,Amanda Wright,Manager
EMP000130,Robert Oconnell,26,25-34,Some College,2018-10-19,,True,2704,Store Operations,Sales Associate,Associate,Full-time,34128.97,STR032,EMP001131,Michelle Walls,Executive
EMP000131,Alexander Collins,26,25-34,Bachelor's,2020-12-14,,True,1917,Store Operations,Cashier,Entry,Full-time,26174.11,STR055,EMP002456,Jennifer Moore,Executive
EMP000132,Tina Sanders,25,25-34,Some College,2017-10-29,,True,3059,Store Operations,Cashier,Entry,Full-time,24221.08,STR035,EMP000529,Melissa Bishop,Senior Manager
EMP000133,Angela Vaughn,25,25-34,High School,2021-10-26,,True,1601,Store Operations,Sales Associate,Associate,Full-time,29438.38,STR020,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000134,Ashley Barton,42,35-44,Bachelor's,2017-08-31,,True,3118,Store Operations,Sales Associate,Associate,Full-time,32051.38,STR125,EMP002436,Miranda Murray,Senior Manager
EMP000135,Lindsay Martinez,26,25-34,Bachelor's,2021-12-12,,True,1554,Store Operations,Sales Associate,Associate,Full-time,39314.92,STR128,EMP002585,Kara Rogers,Senior Manager
EMP000136,Dr. Hannah Patterson,29,25-34,High School,2021-04-16,,True,1794,Store Operations,Cashier,Entry,Full-time,25232.03,STR031,EMP002684,David James,Senior Manager
EMP000137,Jonathan Peterson,46,45-54,High School,2019-11-20,,True,2307,Store Operations,Cashier,Entry,Full-time,27187.91,STR115,EMP002712,Scott Meza,Senior Manager
EMP000138,Samantha Garcia,40,35-44,High School,2012-01-04,,True,5184,Store Operations,Cashier,Entry,Full-time,29030.19,STR124,EMP000053,Rebecca Valencia,Manager
EMP000139,Madison Poole,22,<25,High School,2020-12-31,,True,1900,Store Operations,Sales Associate,Associate,Full-time,32363.56,STR133,EMP000529,Melissa Bishop,Senior Manager
EMP000140,Jessica Gross,29,25-34,Some College,2021-05-06,,True,1774,Store Operations,Sales Associate,Associate,Full-time,39661.38,STR013,EMP002493,Eric Williams,Manager
EMP000141,Debra Morton,23,<25,Some College,2019-09-24,,True,2364,Store Operations,Cashier,Entry,Full-time,31624.47,STR034,EMP000121,Jamie Walton,Manager
EMP000142,Karen Graham,26,25-34,Bachelor's,2019-12-02,,True,2295,Store Operations,Sales Associate,Associate,Part-time,18612.83,STR105,EMP000240,Briana Murray,Manager
EMP000143,Debra Christian,25,25-34,Master's,2017-12-23,,True,3004,Store Operations,Cashier,Entry,Part-time,16183.49,STR034,EMP000520,Michael Johnson,Manager
EMP000144,Angelica Keith,27,25-34,Some College,2021-11-07,2024-04-05,False,880,Store Operations,Sales Associate,Associate,Part-time,18966.32,STR101,EMP000767,Tamara Riddle,Manager
EMP000145,John Bishop,21,<25,High School,2021-01-22,,True,1878,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,39272.61,STR005,EMP001026,Brandon Kelly,Manager
EMP000146,Allen Rosales,23,<25,High School,2021-12-16,,True,1550,Store Operations,Sales Associate,Associate,Part-time,17065.59,STR073,EMP001224,Raymond Quinn,Manager
EMP000147,Daniel Salinas,36,35-44,Bachelor's,2014-12-18,,True,4105,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,44143.47,STR002,EMP001447,Sonya Jackson,Manager
EMP000148,Spencer Haynes,32,25-34,Bachelor's,2019-08-31,,True,2388,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,42540.19,STR059,EMP001680,Zachary Santiago,Manager
EMP000149,Adam Vaughan,27,25-34,Bachelor's,2021-07-10,,True,1709,Store Operations,Cashier,Entry,Full-time,22514.79,STR119,EMP000121,Jamie Walton,Manager
EMP000150,Nathan Freeman,31,25-34,Bachelor's,2018-12-03,,True,2659,Store Operations,Cashier,Entry,Part-time,14871.88,STR086,EMP002163,Mr. William Ward,Manager
EMP000151,Melissa Brewer,37,35-44,Bachelor's,2018-04-10,,True,2896,Store Operations,Cashier,Entry,Full-time,31082.66,STR097,EMP002827,Amanda Wright,Manager
EMP000152,Ricky Davis II,25,25-34,High School,2021-10-15,,True,1612,Store Operations,Senior Sales Associate,Senior_Associate,Part-time,23156.06,STR106,EMP000520,Michael Johnson,Manager
EMP000153,Elizabeth Perkins,41,35-44,Some College,2021-07-03,,True,1716,Store Operations,Cashier,Entry,Part-time,14069.37,STR066,EMP001131,Michelle Walls,Executive
EMP000154,Joseph Coleman,31,25-34,Bachelor's,2017-11-16,,True,3041,Store Operations,Cashier,Entry,Part-time,16136.72,STR121,EMP002436,Miranda Murray,Senior Manager
EMP000155,Erin Warner,23,<25,Some College,2020-12-08,2021-11-11,False,338,Store Operations,Sales Associate,Associate,Part-time,23896.68,STR037,EMP002456,Jennifer Moore,Executive
